Movie_Name, Release_Year, IMdb_Ratings, Meta_Score, Votes
 Im Fadenkreuz,2000,4.8,37.0,5
Petite soeur,2000,6.8,38.0,5
 Im Fadenkreuz,2000,4.4,39.0,5
The Bataan Death March,2000,9.2,40.0,5
Behind Closed Doors: The Dark Legacy of the Johns Committee,2000,7.4,41.0,5
Hillbrow Kids,2000,8.2,42.0,5
The Big Schmooze,2000,5.8,43.0,5
Från opium till krysantemum,2000,5.6,44.0,5
Citizen Kaye,2000,6.0,45.0,5
Fraud,2000,5.6,46.0,5
Rudis Suchmaschine,2000,2.8,47.0,5
Vzlety a pády,2000,7.0,48.0,5
Höre nie auf anzufangen - Der Ufa-Star Carola Höhn,2000,8.6,49.0,5
Rheged: The Lost Kingdom,2000,7.4,50.0,5
Whiskey River, NYC,2000,8.2,1.0,5
Bone,2000,4.6,2.0,5
Chocolate com Mostarda,2000,4.8,3.0,5
Aliendog: Life as it is,2000,4.0,4.0,5
Dreamland,2000,7.2,5.0,5
Sirens of the Deep,2000,6.2,6.0,5
HLA identique,2000,8.6,7.0,5
Dernière invention,2000,8.0,8.0,5
Inventing a Girl: An Experience in Homeschooling,2000,4.0,9.0,5
On the Road,2000,6.2,10.0,5
Senso di colpa,2000,3.8,11.0,5
When the Time Comes,2000,6.6,12.0,5
Consecration,2000,7.6,13.0,5
Standing by,2000,9.2,14.0,5
The Big Menarski,2000,7.2,15.0,5
Banjo Frogs,2000,5.8,16.0,5
 Doppelter Einsatz,1994,7.6,17.0,5
A Dupla Viagem,2000,5.2,18.0,5
Fotoquic,2000,6.0,19.0,5
Land of 1,000 Dances,2000,7.0,20.0,5
Jacinto Durante, representante,2000,7.4,21.0,5
 L'histoire du samedi,1995,6.8,22.0,5
Tailing the Millennium,2000,4.6,23.0,5
Born to Kill,2000,7.2,24.0,5
Hotel Elfie,2000,8.6,25.0,5
Fugues,2000,8.2,26.0,5
King Lear,2000,3.8,27.0,5
Bob, Verushka & the Pursuit of Happiness,2000,7.8,28.0,5
Threads of Hope,2000,7.2,29.0,5
The Mystery of Cobblestone Way,2000,9.6,30.0,5
Petit matin sanglant,2000,6.6,31.0,5
Eine Synagoge zwischen Tal und Hügel,2000,8.2,32.0,5
Natures mortes,2000,5.8,33.0,5
The Pie's the Limit,2000,9.2,34.0,5
Biebabeloela,2000,4.8,35.0,5
Anacronías,2000,9.0,36.0,5
 Im Fadenkreuz,2000,4.8,37.0,5
Petite soeur,2000,6.8,38.0,5
 Im Fadenkreuz,2000,4.4,39.0,5
The Bataan Death March,2000,9.2,40.0,5
Behind Closed Doors: The Dark Legacy of the Johns Committee,2000,7.4,41.0,5
Hillbrow Kids,2000,8.2,42.0,5
The Big Schmooze,2000,5.8,43.0,5
Från opium till krysantemum,2000,5.6,44.0,5
Citizen Kaye,2000,6.0,45.0,5
Fraud,2000,5.6,46.0,5
Rudis Suchmaschine,2000,2.8,47.0,5
Vzlety a pády,2000,7.0,48.0,5
Höre nie auf anzufangen - Der Ufa-Star Carola Höhn,2000,8.6,49.0,5
Rheged: The Lost Kingdom,2000,7.4,50.0,5
Whiskey River, NYC,2000,8.2,1.0,5
Bone,2000,4.6,2.0,5
Chocolate com Mostarda,2000,4.8,3.0,5
Aliendog: Life as it is,2000,4.0,4.0,5
Dreamland,2000,7.2,5.0,5
Sirens of the Deep,2000,6.2,6.0,5
HLA identique,2000,8.6,7.0,5
Dernière invention,2000,8.0,8.0,5
Inventing a Girl: An Experience in Homeschooling,2000,4.0,9.0,5
On the Road,2000,6.2,10.0,5
Senso di colpa,2000,3.8,11.0,5
When the Time Comes,2000,6.6,12.0,5
Consecration,2000,7.6,13.0,5
Standing by,2000,9.2,14.0,5
The Big Menarski,2000,7.2,15.0,5
Banjo Frogs,2000,5.8,16.0,5
 Doppelter Einsatz,1994,7.6,17.0,5
A Dupla Viagem,2000,5.2,18.0,5
Fotoquic,2000,6.0,19.0,5
Land of 1,000 Dances,2000,7.0,20.0,5
Jacinto Durante, representante,2000,7.4,21.0,5
 L'histoire du samedi,1995,6.8,22.0,5
Tailing the Millennium,2000,4.6,23.0,5
Born to Kill,2000,7.2,24.0,5
Hotel Elfie,2000,8.6,25.0,5
Fugues,2000,8.2,26.0,5
King Lear,2000,3.8,27.0,5
Bob, Verushka & the Pursuit of Happiness,2000,7.8,28.0,5
Threads of Hope,2000,7.2,29.0,5
The Mystery of Cobblestone Way,2000,9.6,30.0,5
Petit matin sanglant,2000,6.6,31.0,5
Eine Synagoge zwischen Tal und Hügel,2000,8.2,32.0,5
Natures mortes,2000,5.8,33.0,5
The Pie's the Limit,2000,9.2,34.0,5
Biebabeloela,2000,4.8,35.0,5
Anacronías,2000,9.0,36.0,5
 Im Fadenkreuz,2000,4.8,37.0,5
Petite soeur,2000,6.8,38.0,5
 Im Fadenkreuz,2000,4.4,39.0,5
The Bataan Death March,2000,9.2,40.0,5
Behind Closed Doors: The Dark Legacy of the Johns Committee,2000,7.4,41.0,5
Hillbrow Kids,2000,8.2,42.0,5
The Big Schmooze,2000,5.8,43.0,5
Från opium till krysantemum,2000,5.6,44.0,5
Citizen Kaye,2000,6.0,45.0,5
Fraud,2000,5.6,46.0,5
Rudis Suchmaschine,2000,2.8,47.0,5
Vzlety a pády,2000,7.0,48.0,5
Höre nie auf anzufangen - Der Ufa-Star Carola Höhn,2000,8.6,49.0,5
Rheged: The Lost Kingdom,2000,7.4,50.0,5
Quartzite's Fall: A Wilderness Tale,2001,7.0,1.0,5
Sins of the Mother,2001,8.2,2.0,5
Otaola o la república del exilio,2001,3.8,3.0,5
Judicaël,2001,6.6,4.0,5
Drinking Apart: Families Under the Influence,2001,7.2,5.0,5
Nouvel ordre mondial... quelque part en Afrique,2001,8.4,6.0,5
Rhode Island Blue,2001,7.0,7.0,5
My Son,2001,4.2,8.0,5
Oklahoma Tragedy,2001,6.4,9.0,5
The Gay Riviera,2001,5.6,10.0,5
Mon meilleur amour,2001,6.0,11.0,5
Three Shots,2001,8.2,12.0,5
Faber,2001,9.2,13.0,5
Layar hidup: Tanjang priok/Jakarta,2001,6.4,14.0,5
À bicyclette,2001,5.6,15.0,5
Snowed in Weekend 2001 Dream Concert,2001,5.8,16.0,5
The World Sports Awards,2001,7.2,17.0,5
Avoir su...,2001,6.0,18.0,5
Dans la gueule du loup,2001,3.6,19.0,5
 Great Performances: Dance in America,1976,8.8,20.0,5
Les filles à papa,2001,6.2,21.0,5
La nota final,2001,7.0,22.0,5
Los rebeldes,2001,7.6,23.0,5
Pink Film,2001,8.4,24.0,5
 Vertiges,1997,3.4,25.0,5
Le parisien du village,2001,5.2,26.0,5
La crociera,2001,6.6,27.0,5
Two Grey Hills,2001,6.8,28.0,5
Two Unknown Photographers,2001,9.2,29.0,5
